국회의원코드,-,국회의원명,국회의원한자명,국회의원영문명,생일구분코드,생일일자,직책명,정당명,선거구명,선거구구분명,위원회명,소속위원회명,재선구분명,당선대수,성별,전화번호,국회의원이메일주소,국회의원홈페이지URL,보좌관,비서관,비서,약력,사무실 호실,국회의원사진
D2V1479C,역대의원,갈봉근,葛奉根,null,음,1932-04-06,null,유신정우회/유신정우회,null,통일주체국민회의/통일주체국민회의,null,"법제사법위원회, 예산결산특별위원회, 건설위원회/법제사법위원회",재선,"제9대, 제10대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/D2V1479C.jpg
T2T8225E,현직의원,강경숙,姜景淑,KANG KYUNGSOOK,양,1967-05-02,위원,조국혁신당,비례대표,비례대표,교육위원회,교육위원회,초선,제22대,여,02-784-5601,gracesook52@rebuildingk.kr,https://blog.naver.com/grace6752,"김재삼, 서용선","김홍, 오세령","유은영, 김예닮, 이경열, 김희경, 채윤아",2024.5~ 제22대 국회의원 (비례대표/조국혁신당) 2021.2~2023.2 장애인정책조정위원회 위원 2021 대통령직속 국가균형발전위원회 위원 2017.12~2018 대통령직속 국가교육회의 위원 2013.7~2014.7 미국 워싱턴대학교 특수교육과 연구교수 ~2012.3 원광대학교 입학기획부처장 2011.1 원광대학교 입학사정관실장 2007.4~ 원광대학교 중등특수교육과 교수 2000.3~2007.3 교육부 국립특수교육원 교육연구사 1993.3~2000.2 은평초등학교 특수교육 교사 1991.4~1992.8 세이브더칠드런 해외사업부,의원회관 515호,https://www.assembly.go.kr/static/portal/img/openassm/new/68f83caf0c9e4546b1694ead863f45ce.jpg
85U15859,역대의원,강경식,姜慶植,"Kang, Kyong-shik",음,1936-05-10,null,민주정의당/민주자유당/신한국당,부산 동래구갑/부산 동래구을,전국구/지역구/지역구,null,"상공위원회, 예산결산특별위원회, 재무위원회/통신과학기술위원회, 체신과학기술위원회, 우루과이라운드대책을위한특별위원회, 경제과학위원회/법제사법위원회, 환경노동위원회",3선,"제12대, 제14대, 제15대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/85U15859.jpg
CG97650D,역대의원,강경식,姜慶植,"Kang, Kyung-sik",음,1940-12-12,null,한국국민당,부산 진구,지역구,null,"헌법개정특별위원회, 예산결산특별위원회, 건설위원회, 국회운영위원회",초선,제12대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/CG97650D.jpg
85N15546,역대의원,강경옥,康慶玉,null,음,1907-11-11,null,무소속/자유당/무소속,제주 남제주군/제주 남제주군/제주 2부,지역구/지역구/지역구,null,"상공위원회, 법제사법위원회/상공위원회",3선,"제2대, 제3대, 제5대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/85N15546.jpg
LMW13267,역대의원,강근호,姜根浩,null,음,1934-01-25,null,신민당,"전북 군산시,옥구",지역구,null,"예산결산특별위원회, 문교공보위원회",초선,제8대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/LMW13267.jpg
LNJ8027O,역대의원,강금식,姜金植,"KANG, KUMSIK",음,1941-05-29,null,평화민주당,서울 성동구갑,지역구,null,"교육체육청소년위원회, 예산결산특별위원회, 재무위원회, 상공위원회, 민주발전을위한법률개폐특별위원회, 경제과학위원회",초선,제13대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/LNJ8027O.jpg
X0R95148,역대의원,강기갑,姜基甲,Kang Ki Kab,양,1953-06-07,국회의원,민주노동당/민주노동당,비례대표/경남 사천시,비례대표/지역구,null,"서해안유류오염사고대책특별위원회, 예산결산특별위원회, 국무총리(한덕수)임명동의에관한인사청문특별위원회, 2012년여수세계박람회유치특별위원회, 쌀관세화유예연장협상의실태규명을위한국정조사특별위, 미래전략특별위원회, 농림해양수산위원회, 윤리특별위원회/국회운영위원회, 민생대책특별위원회, 국무총리(김태호) 임명동의에 관한 인사청문특별위원회, 국토해양위원회, 예산결산특별위원회, 일자리창출 및 중소기업경쟁력특별위원회, 농림수산식품위원회, 미국산쇠고기수입위생조건개정관련한·미기술협의의과정등실태규명국정조사특별위원회",재선,"제17대, 제18대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/X0R95148.jpg
C1J76609,역대의원,강기문,姜己文,null,음,1999-00-00,null,무소속,경남 산청,지역구,null,재정경제위원회,초선,제헌,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/C1J76609.jpg
14M56632,역대의원,강기윤,姜起潤,KANG GIYUN,음,1960-06-04,null,새누리당/미래통합당,경남 창원시성산구/경남 창원시성산구,지역구/지역구,null,null,재선,"제19대, 제21대",남,null,null,null,null,null,null,[학력] 마산공고(26회) 창원대학교 행정학과 중앙대학교 행정대학원 지방의회과 석사 창원대학교 대학원 행정학 박사  [경력] 현) 국회 보건복지위원회 국민의힘 간사 현) 국민의힘 소상공인살리기 특별위원회 부위원장 현) 국민의힘 코로나19 대책 특별위원회 위원     미래통합당 경남도당 민생특위 위원장 제19대 국회의원 (새누리당/경남 창원시 성산구) 새누리당 원내부대표,null,https://www.assembly.go.kr/static/portal/img/openassm/14M56632.jpg
